BE,0.031,0.059,0.027,0.061,0.319,0.234,0.116,0.152,0.212,0.162,0.007,0.018,0.047,0.064,0.087,0.019,0.062,0.074,0.077,0.073,0.055,0.018,0.005,0.059,4
BE,0.149,0.113,0.028,0.034,0.151,0.167,0.035,0.058,0.105,0.14,0.013,0.066,0.025,0.039,0.094,0.021,0.001,0.122,0.06,0.041,0.039,0.001,0.024,0.04,4
BE,0.058,0.054,0.004,0.003,0.252,0.32,0.166,0.138,0.216,0.25,0.016,0.05,0.029,0.02,0.103,0.023,0.049,0.06,0.024,0.056,0.008,0.061,0.045,0.009,4
BE,0.015,0.01,0.13,0.119,0.296,0.333,0.013,0.026,0.094,0.132,0.019,0.051,0.05,0.015,0.02,0.015,0.037,0.047,0.104,0.048,0.031,0.047,0.042,0.058,4
BE,0.054,0.01,0.024,0.058,0.252,0.214,0.037,0.023,0.207,0.171,0.147,0.138,0.148,0.152,0.036,0.002,0.007,0.058,0.065,0.121,0.04,0.012,0.028,0.062,4
BE,0.006,0.062,0.003,0.057,0.319,0.26,0.043,0.063,0.274,0.227,0.037,0.022,0.012,0.011,0.131,0.129,0.119,0.167,0.162,0.195,0.032,0.035,0.024,0.065,5
EF,0.029,0.053,0.039,0.026,0.314,0.344,0.134,0.107,0.172,0.26,0.024,0.062,0.01,0.061,0.056,0.031,0.017,0.022,0.091,0.061,0.055,0.035,0.005,0.033,3
BE,0.034,0.051,0.064,0.027,0.177,0.355,0.157,0.143,0.238,0.16,0.061,0.039,0.037,0.045,0.087,0.029,0.011,0.051,0.101,0.043,0.046,0.018,0.042,0.005,4
EF,0.059,0.04,0.064,0.001,0.293,0.2,0.142,0.133,0.247,0.189,0.035,0.029,0.032,0.0,0.09,0.051,0.009,0.096,0.062,0.104,0.06,0.025,0.064,0.053,3
EF,0.035,0.042,0.055,0.052,0.252,0.238,0.138,0.164,0.294,0.175,0.062,0.053,0.006,0.002,0.059,0.02,0.055,0.031,0.084,0.051,0.018,0.045,0.052,0.001,3
EF,0.022,0.002,0.009,0.049,0.253,0.242,0.132,0.111,0.212,0.266,0.036,0.057,0.033,0.01,0.059,0.051,0.044,0.076,0.034,0.064,0.011,0.033,0.066,0.063,3
BE,0.028,0.033,0.016,0.053,0.13,0.253,0.019,0.017,0.226,0.229,0.045,0.056,0.036,0.009,0.143,0.157,0.149,0.196,0.147,0.151,0.041,0.029,0.063,0.052,5
EF,0.131,0.14,0.065,0.039,0.133,0.15,0.044,0.058,0.152,0.104,0.002,0.024,0.015,0.033,0.097,0.02,0.004,0.057,0.041,0.079,0.064,0.029,0.023,0.017,3
EF,0.061,0.008,0.035,0.033,0.219,0.269,0.125,0.117,0.196,0.253,0.04,0.031,0.061,0.022,0.043,0.033,0.044,0.06,0.062,0.063,0.051,0.036,0.028,0.008,3
